Gene.name	Wormbase.ID	Transcript.name	Chromosome	Strand	Relative.loc.chromosome	GermlineExpression	Total.value.of.PATC.algorithm	PATC.density	Bin.size	Bases.with.PATC.60	Frequency.of.PATCs.60	stoekius_oocyte_rpkm	spermatogenic_gonad_fem.3_RPKM_Ortiz_2014	Gene.expression__Ortiz_2014	Germline_TPM_Serizay2020
Y48G1C.9	WBGene00021682	Y48G1C.9.1	I	+	0.00610572	TRUE	38608	31.1354838709677	1240	249	0.200806451612903	135.2	59.0025	Gender Neutral	37.93
pid-2	WBGene00021676	Y48G1C.1.1	I	+	0.00623008	TRUE	15370	9.47011706715958	1623	0	0	66.9	43.6208	Gender Neutral	108.493
Y48G1C.13	WBGene00189949	Y48G1C.13.1	I	-	0.0063087	NA	7262	16.173719376392	449	0	0	NA	NA	NA	3.174
Y48G1C.8	WBGene00021681	Y48G1C.8a.1	I	-	0.00680003	TRUE	461699	40.7285638673253	11336	3063	0.270201129146083	73.7	24.5663	Gender Neutral	60.998
rab-11.1	WBGene00004274	F53G12.1.1	I	-	0.00727514	TRUE	4056	5.2	780	0	0	623.9	332.201	Gender Neutral	284.314
rpl-7	WBGene00004418	F53G12.10.1	I	+	0.00740693	TRUE	11287	9.62233589087809	1173	0	0	171.7	NA	NA	1520.637
F53G12.9	WBGene00018774	F53G12.9a.1	I	+	0.00749796	NA	132796	102.387047031611	1297	311	0.239784117193524	NA	NA	NA	15.033
F53G12.8	WBGene00018773	F53G12.8.1	I	+	0.00757963	FALSE	25971	29.6811428571429	875	160	0.182857142857143	0.2	189.244	Spermatogenic	34.716
col-45	WBGene00000622	F53G12.7a.1	I	+	0.00773395	FALSE	22573	13.5736620565244	1663	101	0.0607336139506915	0.1	1.84448	Spermatogenic	11.976
spe-8	WBGene00004962	F53G12.6.1	I	+	0.00792765	FALSE	48858	17.6893555394642	2762	316	0.114409847936278	0	82.5985	Spermatogenic	10.132
mex-3	WBGene00003229	F53G12.5b.1	I	+	0.00865414	TRUE	186732	29.706013363029	6286	1254	0.199490932230353	1053.3	43.6135	Oogenic	127.237
F53G12.4	WBGene00018772	F53G12.4.1	I	+	0.00901099	FALSE	62090	21.1983612154319	2929	241	0.0822806418572892	0.2	2.52943	Spermatogenic	17.024
duox-2	WBGene00018771	F53G12.3.1	I	+	0.00936839	FALSE	59282	8.82041362892427	6721	59	0.00877845558696622	0	NA	NA	0.357
F53G12.18	WBGene00271776	F53G12.18.1	I	+	0.00966317	NA	32103	19.563071297989	1641	165	0.10054844606947	NA	NA	NA	NA
bli-3	WBGene00000253	F56C11.1.1	I	-	0.00999975	FALSE	79957	9.75442234964011	8197	208	0.0253751372453337	0.5	0.38527	Gender Neutral	12.499
ptr-11	WBGene00004225	F56C11.2a.1	I	-	0.0108549	FALSE	176155	27.4684235147357	6413	1021	0.159207859036332	0.8	0.75994	Spermatogenic	7.821
cest-27	WBGene00018958	F56C11.6b.1	I	+	0.0115201	FALSE	54473	11.8600043544524	4593	83	0.01807097757457	0.1	17.0805	Spermatogenic	6.541
F56C11.5	WBGene00018957	F56C11.5b.1	I	+	0.01196	TRUE	98774	29.0511764705882	3400	552	0.162352941176471	99.3	18.7461	Oogenic	22.415
F56C11.3	WBGene00018955	F56C11.3.1	I	-	0.0121052	TRUE	21684	34.2559241706161	633	168	0.265402843601896	28.3	38.8324	Gender Neutral	79.487
atm-1	WBGene00000227	Y48G1BL.2a.1	I	+	0.0129815	TRUE	799672	32.5374130284412	24577	4042	0.164462709036904	10.2	8.20815	Gender Neutral	39.058
Y48G1BL.7	WBGene00021666	Y48G1BL.7.1	I	+	0.0139654	FALSE	53382	22.7350936967632	2348	146	0.0621805792163543	0.1	NA	NA	0.436
Y48G1BL.8	WBGene00255594	Y48G1BL.8.1	I	+	0.0144971	NA	56784	63.375	896	301	0.3359375	NA	NA	NA	7.885
snpc-3.2	WBGene00021667	Y48G1BM.1.1	I	+	0.0167938	TRUE	118874	59.1118846345102	2011	604	0.300348085529587	7.8	15.5204	Gender Neutral	4.605
Y48G1BR.1	WBGene00021675	Y48G1BR.1.1	I	-	0.0170465	FALSE	76755	17.2599505284461	4447	241	0.0541938385428379	1.6	NA	NA	9.713
marc-4	WBGene00016903	C53D5.2.1	I	+	0.0187778	FALSE	74737	12.8524505588994	5815	238	0.0409286328460877	0.4	NA	NA	2.998
ztf-3	WBGene00016905	C53D5.4b.1	I	-	0.0190887	TRUE	147924	54.3239074550129	2723	757	0.278002203452075	13.1	5.69603	Oogenic	25.24
C53D5.1	WBGene00016902	C53D5.1a.1	I	+	0.019782	TRUE	276186	19.965734114075	13833	1353	0.0978095857731512	49	31.2106	Spermatogenic	13.865
C53D5.5	WBGene00016906	C53D5.5a.1	I	-	0.0204574	TRUE	92520	18.9279869067103	4888	315	0.064443535188216	2.7	1.36401	Gender Neutral	29.005
imb-3	WBGene00002077	C53D5.6.1	I	-	0.0207789	TRUE	25503	7.12772498602571	3578	0	0	253.4	243.31	Gender Neutral	313.852
xpo-2	WBGene00002079	Y48G1A.5a.1	I	-	0.021303	TRUE	264939	58.5112632508834	4528	1064	0.234982332155477	470.8	55.6094	Oogenic	175.796
nol-14	WBGene00021660	Y48G1A.4.1	I	+	0.0217147	TRUE	579024	84.2952394817295	6869	2604	0.379094482457417	8.5	35.3488	Gender Neutral	26.423
daf-25	WBGene00000917	Y48G1A.3.1	I	+	0.022237	TRUE	189331	37.0655833985904	5108	1091	0.213586530931872	41	37.6089	Gender Neutral	12.273
mbtr-1	WBGene00021661	Y48G1A.6a.1	I	-	0.0229526	TRUE	173599	35.9865257048093	4824	1185	0.245646766169154	45	14.1775	Oogenic	31.121
Y48G1A.2	WBGene00021658	Y48G1A.2.1	I	+	0.0230793	TRUE	4337	7.54260869565217	575	0	0	249.8	21.6502	Oogenic	192.039
Y48G1A.1	WBGene00021657	Y48G1A.1.1	I	+	0.0234073	FALSE	1483972	173.706192204144	8543	3518	0.411799133793749	1	9.0082	Gender Neutral	12.45
rnp-8	WBGene00020091	R119.7a.1	I	+	0.0242979	TRUE	106262	31.0526008182349	3422	622	0.181765049678551	236.7	45.0545	Oogenic	131.664
R119.2	WBGene00020088	R119.2.1	I	-	0.0246217	TRUE	204005	43.6748019695997	4671	1351	0.289231427959752	16	28.51	Gender Neutral	13.507
R119.3	WBGene00020089	R119.3.1	I	-	0.0249713	TRUE	382957	71.1551467855816	5382	2569	0.477331846897064	46.3	NA	NA	13.329
pqn-59	WBGene00004143	R119.4.1	I	-	0.0252495	TRUE	16772	6.31000752445448	2658	0	0	597.6	NA	NA	368.357
taf-4	WBGene00006385	R119.6.1	I	+	0.0255853	TRUE	454754	81.1770796144234	5602	2336	0.416993930739022	45.5	36.7365	Gender Neutral	16.97
R119.5	WBGene00020090	R119.5a.1	I	-	0.0259814	TRUE	135596	24.1402884101834	5617	931	0.165746839950151	2.1	1.04021	Gender Neutral	21.67
otub-2	WBGene00021733	Y50C1A.1a.1	I	+	0.0269186	TRUE	835978	61.6412033623359	13562	3841	0.28321781448164	9.5	34.7048	Gender Neutral	8.894
Y50C1A.2	WBGene00021734	Y50C1A.2.1	I	-	0.0275858	FALSE	141269	24.5685217391304	5750	788	0.13704347826087	0.5	2.19066	Spermatogenic	1.057
C07F11.2	WBGene00015570	C07F11.2.1	I	+	0.0280175	FALSE	30930	11.3796909492274	2718	63	0.0231788079470199	0.2	NA	NA	1.796
tol-1	WBGene00006593	C07F11.1.1	I	+	0.0300292	TRUE	880905	51.2362589425929	17193	4759	0.276798697144187	36.1	6.19805	Oogenic	23.433
W04C9.4	WBGene00021026	W04C9.4.1	I	+	0.0306705	TRUE	17881	31.873440285205	561	145	0.258467023172906	72.6	201.476	Gender Neutral	100.125
W04C9.5	WBGene00021027	W04C9.5.1	I	-	0.030844	FALSE	87652	19.5870391061453	4475	402	0.0898324022346369	0.2	1.21002	Spermatogenic	7.451
cutl-13	WBGene00021025	W04C9.3.1	I	+	0.0318329	FALSE	75760	18.0552907530982	4196	357	0.0850810295519542	0.4	NA	NA	2.939
W04C9.9	WBGene00235388	W04C9.9.1	I	-	0.0320426	NA	25787	14.007061379685	1841	82	0.044541010320478	NA	NA	NA	0.754
W04C9.6	WBGene00021028	W04C9.6.1	I	-	0.0322481	FALSE	67408	17.4406209573092	3865	262	0.0677878395860285	0.3	0.765148	Spermatogenic	5.984
W04C9.2	WBGene00021024	W04C9.2.1	I	+	0.0324561	TRUE	103928	89.9031141868512	1156	665	0.575259515570934	178.9	286.866	Gender Neutral	85.788
haf-4	WBGene00001814	W04C9.1a.1	I	+	0.0327126	FALSE	69525	11.5547615090577	6017	187	0.0310786106032907	0.4	2.23993	Gender Neutral	32.605
Y65B4BL.3	WBGene00022035	Y65B4BL.3a.1	I	-	0.0331154	TRUE	421663	72.6879848302017	5801	2147	0.370108601965178	92.3	29.2864	Gender Neutral	8.283
Y65B4BL.4	WBGene00022036	Y65B4BL.4.1	I	-	0.0334808	NA	495692	157.312599174865	3151	1349	0.428118057759441	NA	46.9403	Gender Neutral	54.548
deps-1	WBGene00022034	Y65B4BL.2a.1	I	+	0.0336824	TRUE	17373	7.23875	2400	0	0	258.9	189.406	Gender Neutral	216.046
Y65B4BL.7	WBGene00022039	Y65B4BL.7a.1	I	-	0.0338302	FALSE	38401	20.5793140407288	1866	155	0.0830653804930332	1.2	58.7875	Gender Neutral	24.155
acs-13	WBGene00022037	Y65B4BL.5c.1	I	-	0.0342056	TRUE	305179	37.3581833761782	8169	1998	0.244583180315828	785.6	66.3721	Oogenic	173.204
Y65B4BL.6	WBGene00022038	Y65B4BL.6a.1	I	-	0.034554	FALSE	11400	10.6244175209692	1073	0	0	0.4	NA	NA	4.575
Y65B4BL.1	WBGene00022033	Y65B4BL.1.1	I	+	0.0352588	FALSE	5742	6.39420935412027	898	0	0	1.2	0.710661	Oogenic	18.225
Y65B4BM.3	WBGene00302974	Y65B4BM.3.1	I	+	0.0353227	NA	3941	4.35469613259669	905	0	0	NA	NA	NA	NA
psf-3	WBGene00022043	Y65B4BR.8.1	I	+	0.0354837	TRUE	9543	12.9484396200814	737	0	0	188.7	50.6608	Oogenic	198.998
icd-2	WBGene00022042	Y65B4BR.5.1	I	+	0.0355716	TRUE	5063	7.38046647230321	686	0	0	423.3	2760.1	Gender Neutral	618.756
wwp-1	WBGene00007009	Y65B4BR.4a.1	I	+	0.0357861	TRUE	155684	34.642634623943	4494	1017	0.22630173564753	206.3	103.631	Gender Neutral	149.417
ptr-21	WBGene00004235	Y65B4BR.3.1	I	+	0.036715	TRUE	68638	12.8199477026522	5354	138	0.0257751214045573	6	3.69456	Gender Neutral	58.034
lpr-1	WBGene00002393	Y65B4BR.2a.1	I	+	0.037123	FALSE	153822	37.9058649581074	4058	884	0.217841301133563	0.6	NA	NA	2.743
Y65B4BR.1	WBGene00022040	Y65B4BR.1.1	I	+	0.0374151	FALSE	27049	11.5200170357751	2348	73	0.0310902896081772	0.1	NA	NA	2.145
ceh-9	WBGene00000434	Y65B4BR.9.1	I	-	0.0375464	FALSE	16447	17.2762605042017	952	113	0.118697478991597	0.1	NA	NA	1.62
grl-16	WBGene00001725	Y65B4BR.6a.1	I	-	0.0380662	FALSE	19940	7.58174904942966	2630	31	0.011787072243346	0.2	0.355615	Gender Neutral	174.787
F56A6.5	WBGene00044427	F56A6.5.1	I	-	0.0386773	FALSE	19725	15.0114155251142	1314	60	0.045662100456621	0	NA	NA	0
F56A6.8	WBGene00235390	F56A6.8.1	I	+	0.038829	NA	1808	7.0077519379845	258	0	0	NA	NA	NA	0
hum-7	WBGene00002040	F56A6.2a.1	I	-	0.0395898	FALSE	371770	17.1227892409727	21712	1543	0.0710666912306559	0.6	1.11043	Gender Neutral	13.813
eme-1	WBGene00018923	F56A6.4a.1	I	-	0.0412729	TRUE	2568754	174.484037494906	14722	5973	0.405719331612553	42.2	50.6876	Gender Neutral	6.544
sago-2	WBGene00018921	F56A6.1a.1	I	+	0.0411187	TRUE	24507	7.89275362318841	3105	0	0	6.2	48.6348	Gender Neutral	1.84
Y65B4A.4	WBGene00022028	Y65B4A.4.1	I	+	0.0412639	TRUE	13297	27.7020833333333	480	122	0.254166666666667	2.4	8.64857	Gender Neutral	6.664
Y65B4A.6	WBGene00022029	Y65B4A.6a.1	I	-	0.0420445	TRUE	1424140	271.730585766075	5241	3021	0.576416714367487	269.5	101.055	Gender Neutral	63.421
vps-20	WBGene00022027	Y65B4A.3.1	I	+	0.0422872	TRUE	26045	29.868119266055	872	234	0.268348623853211	33.7	114.418	Gender Neutral	149.602
Y65B4A.2	WBGene00022026	Y65B4A.2b.1	I	+	0.0428581	FALSE	2817088	181.314796936345	15537	3712	0.238913561176546	1.7	1.2921	Gender Neutral	2.633
Y65B4A.7	WBGene00022030	Y65B4A.7a.1	I	-	0.0428883	FALSE	28029	17.6616257088847	1587	174	0.109640831758034	0.3	59.7622	Spermatogenic	6.408
cus-2	WBGene00022025	Y65B4A.1.1	I	+	0.0435487	TRUE	261797	57.9581580695152	4517	1769	0.391631613903033	21.3	55.0202	Gender Neutral	28.792
Y65B4A.8	WBGene00022031	Y65B4A.8.1	I	-	0.0439064	TRUE	216250	61.0014104372355	3545	1430	0.403385049365303	48.2	44.7306	Spermatogenic	36.428
Y65B4A.9	WBGene00022032	Y65B4A.9a.1	I	-	0.0441616	FALSE	18652	7.88334742180896	2366	0	0	0.1	72.7482	Spermatogenic	9.648
Y18H1A.14	WBGene00044461	Y18H1A.14.1	I	-	0.0445193	FALSE	132461	19.4824238858656	6799	183	0.0269157229004265	0	NA	NA	0.561
Y18H1A.11	WBGene00021215	Y18H1A.11a.1	I	+	0.0452434	FALSE	57415	19.1511007338225	2998	338	0.112741827885257	0.2	44.8125	Spermatogenic	4.654
hasp-2	WBGene00021214	Y18H1A.10.1	I	-	0.0454642	FALSE	44948	17.0451270383011	2637	175	0.0663632916192643	0.1	39.7068	Spermatogenic	10.22
ptp-5.3	WBGene00021207	Y18H1A.1.1	I	+	0.0457637	FALSE	56007	18.8512285425783	2971	258	0.0868394479973073	0.1	56.2786	Spermatogenic	8.007
Y18H1A.4	WBGene00021210	Y18H1A.4.1	I	-	0.0460049	TRUE	492797	201.305964052288	2448	946	0.386437908496732	64.8	44.437	Gender Neutral	36.134
Y18H1A.2	WBGene00021208	Y18H1A.2a.1	I	-	0.046223	TRUE	408217	125.296807857581	3258	1622	0.497851442602824	31.4	45.719	Gender Neutral	16.694
hgap-1	WBGene00021209	Y18H1A.3e.1	I	-	0.0469892	TRUE	722527	47.4815666688572	15217	3641	0.239271866990865	74.2	7.42301	Oogenic	35.693
rec-1	WBGene00004332	Y18H1A.7a.1	I	-	0.0476966	NA	69322	44.4371794871795	1560	482	0.308974358974359	NA	NA	NA	81.065
pif-1	WBGene00004028	Y18H1A.6a.1	I	+	0.0481347	TRUE	542519	49.9557090239411	10860	2812	0.258931860036832	50.2	13.9332	Gender Neutral	16.085
Y18H1A.15	WBGene00044434	Y18H1A.15.1	I	-	0.0486855	FALSE	54180	9.88145175998541	5483	154	0.0280868137880722	0.5	48.3501	Spermatogenic	6.772
Y18H1A.18	WBGene00236789	Y18H1A.18.1	I	+	0.0491889	NA	32714	35.2521551724138	928	215	0.231681034482759	NA	NA	NA	0
col-46	WBGene00000623	Y18H1A.13.1	I	-	0.0493436	FALSE	53332	15.4540712836859	3451	185	0.0536076499565343	0.3	NA	NA	2
col-47	WBGene00000624	Y18H1A.12a.1	I	+	0.0495658	FALSE	51192	21.4911838790932	2382	328	0.137699412258606	0	NA	NA	0.112
Y18H1A.9	WBGene00021213	Y18H1A.9.1	I	-	0.0499391	FALSE	197679	23.4161336176262	8442	1027	0.12165363657901	0.7	NA	NA	1.458
Y18H1A.8	WBGene00021212	Y18H1A.8a.1	I	+	0.0503961	FALSE	24751	14.7855436081243	1674	0	0	0	NA	NA	0.325
mps-3	WBGene00020282	T06A4.2.1	I	-	0.0505155	FALSE	11708	13.1846846846847	888	40	0.045045045045045	0.1	150.39	Spermatogenic	17.622
T06A4.3	WBGene00020283	T06A4.3a.1	I	+	0.0508975	FALSE	93582	13.4630988347	6951	118	0.0169759746799022	0.1	NA	NA	3.011
T06A4.1	WBGene00020281	T06A4.1b.1	I	+	0.0513277	FALSE	79364	14.8761012183693	5335	310	0.0581068416119963	0.1	NA	NA	1.528
zfh-2	WBGene00022518	ZC123.3a.1	I	+	0.0543399	TRUE	457593	14.6350145520837	31267	1569	0.0501807016982761	5.9	1.82908	Gender Neutral	8.792
ZC123.1	WBGene00022517	ZC123.1.1	I	+	0.0557228	FALSE	49175	13.8326300984529	3555	268	0.0753867791842475	0.1	NA	NA	14.22
ZC123.4	WBGene00022519	ZC123.4a.1	I	-	0.0560155	FALSE	76814	15.644399185336	4910	345	0.0702647657841141	0.2	1.09307	Gender Neutral	13.716
Y95B8A.8	WBGene00022388	Y95B8A.8.1	I	+	0.0572328	TRUE	2887003	157.24417211329	18360	10080	0.549019607843137	127.8	66.5467	Gender Neutral	16.469
pde-6	WBGene00022389	Y95B8A.10a.1	I	-	0.0582584	FALSE	207308	22.4529405393697	9233	938	0.101592115238817	0.1	2.15099	Gender Neutral	5.789
Y95B8A.6	WBGene00022386	Y95B8A.6c.1	I	+	0.0588122	FALSE	91077	13.6037341299477	6695	350	0.0522778192681105	0.1	3.22302	Gender Neutral	0.541
him-19	WBGene00022390	Y95B8A.11a.1	I	-	0.0592151	TRUE	1116701	216.079914860681	5168	3170	0.613390092879257	22.7	23.4194	Gender Neutral	13.186
gpa-16	WBGene00001678	Y95B8A.5a.1	I	+	0.0598159	TRUE	3863612	451.145726296123	8564	4903	0.572512844465203	80.9	83.5348	Gender Neutral	16.161
Y95B8A.4	WBGene00022385	Y95B8A.4.1	I	+	0.0603295	FALSE	116332	31.950563032134	3641	788	0.216424059324361	0.9	93.7549	Spermatogenic	20.254
prhg-1	WBGene00022391	Y95B8A.12c.1	I	-	0.0610159	FALSE	217615	15.073422456189	14437	868	0.060123294313223	0.5	NA	NA	0.37
nas-30	WBGene00003548	Y95B8A.1a.1	I	+	0.0625701	NA	114610	12.8500953021639	8919	233	0.0261240049332885	NA	NA	NA	5.702
mig-1	WBGene00003238	Y34D9B.1a.1	I	-	0.0632276	TRUE	127453	14.7361544687247	8649	470	0.054341542374841	18.7	0.614822	Oogenic	11.185
cutl-20	WBGene00018787	F54A5.2a.1	I	-	0.0641251	NA	115569	20.5638790035587	5620	619	0.110142348754448	NA	NA	NA	4.079
shc-1	WBGene00018788	F54A5.3a.1	I	-	0.0644465	TRUE	64041	18.9863622887637	3373	365	0.108212273940113	18.4	1.258	Oogenic	8.576
hmbx-1	WBGene00018786	F54A5.1.1	I	+	0.0657317	TRUE	14748	6.98957345971564	2110	0	0	36.2	0.0807615	Oogenic	15.664
C54G6.3	WBGene00016932	C54G6.3.1	I	+	0.0663831	FALSE	146219	16.2069385945467	9022	629	0.0697184659720683	0.1	NA	NA	0.16
C54G6.2	WBGene00016931	C54G6.2a.1	I	+	0.0669083	NA	82050	17.879712355633	4589	285	0.0621050337764219	NA	NA	NA	6.784
madf-6	WBGene00016930	C54G6.1a.1	I	-	0.0672028	TRUE	78773	28.183542039356	2795	305	0.10912343470483	31	28.5733	Gender Neutral	23.641
C54G6.8	WBGene00236808	C54G6.8.1	I	-	0.0673725	NA	9770	18.5037878787879	528	63	0.119318181818182	NA	NA	NA	3.533
spp-17	WBGene00005002	C54G6.5.1	I	+	0.0674589	TRUE	7913	10.9598337950139	722	0	0	2.3	117.283	Gender Neutral	15.152
spp-23	WBGene00021335	Y34D9A.11.1	I	+	0.0676068	FALSE	1104	3.5047619047619	315	0	0	0.6	10.2379	Gender Neutral	12.123
mrpl-38	WBGene00021327	Y34D9A.1.1	I	-	0.067999	TRUE	1758371	175.94266559936	9994	6430	0.643386031618971	64.1	77.5286	Gender Neutral	14.671
spd-1	WBGene00004952	Y34D9A.4.1	I	-	0.0684781	TRUE	43359	16.6317606444189	2607	221	0.0847717683160721	68.6	75.5951	Gender Neutral	211.982
Y34D9A.3	WBGene00021329	Y34D9A.3a.1	I	+	0.0688421	TRUE	2569123	408.380702591003	6291	4235	0.673183913527261	13.7	20.0586	Gender Neutral	33.334
Y34D9A.7	WBGene00021332	Y34D9A.7a.1	I	+	0.0693209	TRUE	528810	78.8915411009995	6703	3013	0.449500223780397	28.9	35.0028	Gender Neutral	11.699
glrx-10	WBGene00021331	Y34D9A.6.1	I	+	0.0696716	TRUE	31539	30.4430501930502	1036	235	0.226833976833977	163.9	258.468	Gender Neutral	50.863
Y34D9A.8	WBGene00021333	Y34D9A.8b.1	I	-	0.0698151	FALSE	52944	19.4504041146216	2722	218	0.0800881704628949	0.2	2.81827	Gender Neutral	13.438
vps-4	WBGene00021334	Y34D9A.10.1	I	-	0.0703679	TRUE	742753	59.3822353693636	12508	3890	0.311000959385993	169.9	54.177	Gender Neutral	24.668
npr-23	WBGene00021328	Y34D9A.2.1	I	+	0.0705713	FALSE	67259	27.2083333333333	2472	377	0.152508090614887	0.1	NA	NA	0.552
gsa-1	WBGene00001745	R06A10.2a.1	I	+	0.071101	FALSE	94035	17.5536680978159	5357	303	0.0565615083068882	0.1	2.12794	Spermatogenic	17.489
R06A10.1	WBGene00019909	R06A10.1b.1	I	+	0.0718521	FALSE	294002	26.8986276303751	10930	1274	0.116559926806953	0.4	NA	NA	1.508
R06A10.5	WBGene00044895	R06A10.5b.1	I	+	0.0722592	NA	24420	21.3275109170306	1145	99	0.0864628820960699	NA	NA	NA	1.107
R06A10.4	WBGene00019911	R06A10.4.1	I	-	0.0725118	TRUE	99751	17.4207125392944	5726	228	0.0398183723367097	2.1	0.881592	Gender Neutral	2.35
ZK993.2	WBGene00022838	ZK993.2a.1	I	+	0.0736388	FALSE	64322	13.7734475374732	4670	134	0.0286937901498929	0	NA	NA	0.058
ZK993.5	WBGene00236809	ZK993.5.1	I	+	0.0739072	NA	89632	29.1107502435856	3079	592	0.192270217603118	NA	NA	NA	0
ceh-45	WBGene00022837	ZK993.1a.1	I	+	0.074971	FALSE	54107	16.5161782661783	3276	212	0.0647130647130647	0.1	NA	NA	0.706
Y48G8AL.10	WBGene00021689	Y48G8AL.10a.1	I	-	0.0759963	TRUE	762993	42.699255694219	17869	4704	0.26324920252952	16.6	10.1538	Gender Neutral	18.458
aps-3	WBGene00000165	Y48G8AL.14.1	I	-	0.0766771	TRUE	5495	8.87722132471729	619	0	0	263	72.2626	Gender Neutral	214.635
rpl-17	WBGene00004429	Y48G8AL.8.1	I	+	0.0767631	TRUE	5505	6.68894289185905	823	0	0	170.7	4803.33	Gender Neutral	1554.023
Y48G8AL.7	WBGene00021687	Y48G8AL.7.1	I	+	0.0769764	TRUE	155709	29.3569004524887	5304	805	0.151772247360483	22.6	19.5478	Oogenic	33.615
haf-6	WBGene00001816	Y48G8AL.11a.1	I	-	0.0775822	TRUE	649042	50.7024451214749	12801	3812	0.297789235215999	4.8	19.6394	Gender Neutral	10.802
smg-2	WBGene00004880	Y48G8AL.6.1	I	+	0.0784823	TRUE	751889	58.3221377598511	12892	4243	0.329118833385045	16	46.1291	Gender Neutral	33.552
nsun-2	WBGene00021686	Y48G8AL.5a.1	I	+	0.0797549	TRUE	1237135	69.4707434860737	17808	6569	0.368879155435759	43	97.8143	Gender Neutral	17.281
herc-1	WBGene00021685	Y48G8AL.1a.1	I	+	0.0818047	TRUE	1434736	33.3620741774212	43005	8318	0.193419369840716	46.5	47.65	Gender Neutral	9.286
Y48G8AL.16	WBGene00195068	Y48G8AL.16.1	I	-	0.0806873	NA	67493	30.4159531320415	2219	459	0.206849932401983	NA	NA	NA	1.35
Y48G8AL.12	WBGene00021690	Y48G8AL.12.1	I	-	0.0808591	FALSE	2976	6.4	465	0	0	0.1	NA	NA	348.727
Y48G8AL.13	WBGene00021691	Y48G8AL.13a.1	I	-	0.081306	TRUE	57847	21.9283548142532	2638	375	0.142153146322972	74.8	79.6714	Spermatogenic	27.819
Y48G8AL.15	WBGene00021692	Y48G8AL.15.1	I	+	0.0833604	TRUE	57892	17.3485166317051	3337	279	0.0836080311657177	13.9	24.1228	Gender Neutral	11.279
grh-1	WBGene00001707	Y48G8AR.1a.1	I	-	0.0838498	FALSE	203959	23.5355411954766	8666	866	0.0999307639049158	0.9	NA	NA	2.347
Y48G8AR.8	WBGene00271777	Y48G8AR.8.1	I	+	0.0844085	NA	42571	27.0292063492063	1575	300	0.19047619047619	NA	NA	NA	NA
Y48G8AR.2	WBGene00021693	Y48G8AR.2.1	I	+	0.0851683	TRUE	98149	30.864465408805	3180	590	0.185534591194969	2.6	NA	NA	2.479
Y48G8AR.3	WBGene00021694	Y48G8AR.3.1	I	+	0.0854254	FALSE	7718	14.5348399246704	531	0	0	0	NA	NA	2.192
dapk-1	WBGene00003400	K12C11.4a.1	I	+	0.0873689	TRUE	505111	22.3728130398193	22577	2464	0.109137617929752	3.6	1.09186	Gender Neutral	8.269
K12C11.5	WBGene00044896	K12C11.5.1	I	+	0.0884655	FALSE	12704	9.94831636648395	1277	31	0.024275646045419	0	53.941	Spermatogenic	10.582
K12C11.3	WBGene00019674	K12C11.3b.1	I	+	0.0886444	FALSE	23487	16.9581227436823	1385	0	0	0.3	NA	NA	1.987
K12C11.6	WBGene00045052	K12C11.6.1	I	+	0.0887428	NA	44790	40.6811989100817	1101	232	0.210717529518619	NA	7.9249	Gender Neutral	22.046
