"Gene.name"	"Wormbase.ID"	"Transcript.name"	"Chromosome"	"Strand"	"Relative.loc.chromosome"	"GermlineExpression"	"Total.value.of.PATC.algorithm"	"PATC.density"	"Bin.size"	"Bases.with.PATC.55"	"Frequency.of.PATCs.55"	"stoekius_oocyte_rpkm"	"spermatogenic_gonad_fem.3_RPKM_Ortiz_2014"	"Gene.expression__Ortiz_2014"
"pqn-27"	"WBGene00004116"	"E01G4.4a"	"II"	"-"	0.880579080843443	NA	1235827	111	11174	5113	0.457580096652944	NA	47.1965	"Gender Neutral"
"pqn-76"	"WBGene00004158"	"Y105C5A.3"	"IV"	"+"	0.890578243333692	NA	1102	1	1076	0	0	NA	NA	NA
"pqn-78"	"WBGene00004159"	"Y105C5A.5"	"IV"	"-"	0.891428486010696	NA	1092	1	1076	0	0	NA	NA	NA
"pqn-79"	"WBGene00004160"	"Y105C5A.6"	"IV"	"+"	0.891520518463968	NA	1102	1	1076	0	0	NA	NA	NA
"pqn-90"	"WBGene00004170"	"Y73F8A.8"	"IV"	"-"	0.874055731309595	NA	1692	1	1362	0	0	NA	NA	NA
"rac-2"	"WBGene00004287"	"K03D3.10"	"IV"	"+"	0.932273146147707	NA	71895	45	1605	545	0.339563862928349	NA	NA	NA
"sir-2.2"	"WBGene00004801"	"F46G10.7c"	"X"	"+"	0.752288200954662	NA	48261	18	2753	327	0.118779513258264	NA	2.88645	"Gender Neutral"
"skr-19"	"WBGene00004825"	"R12H7.3"	"X"	"-"	0.746329747001824	NA	480	1	468	0	0	NA	2.77052	"Gender Neutral"
"snt-3"	"WBGene00004923"	"Y75B7AL.3"	"V"	"-"	0.0649847210261047	NA	69547	25	2751	531	0.193020719738277	NA	NA	NA
"sra-2"	"WBGene00005028"	"AH6.6"	"II"	"+"	0.623670294836434	NA	9116	8	1083	0	0	NA	NA	NA
"sra-23"	"WBGene00005049"	"T06G6.1"	"I"	"+"	0.84286857716544	NA	6541	5	1293	0	0	NA	NA	NA
"srb-11"	"WBGene00005076"	"F23F12.10"	"III"	"-"	0.470997622499048	NA	25902	17	1540	73	0.0474025974025974	NA	NA	NA
"srd-21"	"WBGene00005099"	"W06G6.3"	"V"	"+"	0.794799485571239	NA	4876	4	1256	32	0.0254777070063694	NA	NA	NA
"srd-25"	"WBGene00005103"	"F07C4.4"	"V"	"+"	0.364774246828311	NA	10871	10	1141	0	0	NA	NA	NA
"srd-29"	"WBGene00005107"	"F07C4.3"	"V"	"+"	0.364952198843635	NA	11029	10	1114	81	0.0727109515260323	NA	NA	NA
"srd-38"	"WBGene00005116"	"R04D3.12"	"X"	"+"	0.750179948667364	NA	12088	10	1179	43	0.0364715860899067	NA	NA	NA
"srd-41"	"WBGene00005119"	"F17A2.6"	"X"	"+"	0.695726894980524	NA	17474	11	1642	70	0.0426309378806334	NA	NA	NA
"srd-44"	"WBGene00005122"	"F17A2.8"	"X"	"+"	0.696392820745166	NA	29364	16	1809	138	0.0762852404643449	NA	NA	NA
"srd-54"	"WBGene00005132"	"K02A2.7"	"II"	"+"	0.486501157340975	NA	15532	10	1521	31	0.0203813280736358	NA	NA	NA
"srd-56"	"WBGene00005134"	"E04F6.14"	"II"	"-"	0.471393058676765	NA	8063	7	1195	0	0	NA	NA	NA
"srd-64"	"WBGene00005141"	"Y22D7AR.8"	"III"	"-"	0.122868394574182	NA	384814	130	2966	1160	0.391099123398517	NA	NA	NA
"sre-2"	"WBGene00005150"	"C41C4.2"	"II"	"-"	0.530207132848817	NA	22200	13	1767	30	0.0169779286926995	NA	NA	NA
"srg-22"	"WBGene00005179"	"Y25C1A.10"	"II"	"-"	0.202402793927859	NA	12522	6	1950	64	0.0328205128205128	NA	NA	NA
"srg-28"	"WBGene00005185"	"T09D3.2"	"V"	"+"	0.254997256762272	NA	12115	8	1442	61	0.0423023578363384	NA	NA	NA
"srg-46"	"WBGene00005203"	"F32H5.5"	"V"	"+"	0.638697502124337	NA	9721	10	1014	22	0.0216962524654832	NA	NA	NA
"srg-59"	"WBGene00005216"	"C24B9.7"	"V"	"-"	0.130189761319201	NA	52389	22	2423	355	0.146512587701197	NA	NA	NA
"srg-60"	"WBGene00005217"	"C24B9.15"	"V"	"-"	0.130087415611986	NA	15718	12	1366	21	0.0153733528550512	NA	NA	NA
"srg-67"	"WBGene00005224"	"ZC317.4"	"V"	"-"	0.26105018213378	NA	17193	12	1467	51	0.0347648261758691	NA	NA	NA
"srh-7"	"WBGene00005233"	"K09D9.7"	"V"	"+"	0.191597591876958	NA	35244	22	1592	237	0.148869346733668	NA	NA	NA
"srh-19"	"WBGene00005244"	"F19G12.5"	"X"	"+"	0.0798492652665154	NA	51379	15	3402	171	0.0502645502645503	NA	NA	NA
"srh-47"	"WBGene00005270"	"T03F7.4"	"V"	"-"	0.540045344668226	NA	17278	14	1267	91	0.0718232044198895	NA	NA	NA
"srh-49"	"WBGene00005272"	"C10G11.4"	"I"	"+"	0.417898529195749	NA	34966	18	1963	205	0.10443199184921	NA	NA	NA
"srh-73"	"WBGene00005294"	"T21B4.14"	"II"	"+"	0.818927693660643	NA	8819	8	1151	0	0	NA	NA	NA
"srh-83"	"WBGene00005304"	"F09G2.7"	"V"	"+"	0.342436477797457	NA	11672	8	1386	0	0	NA	NA	NA
"srh-97"	"WBGene00005316"	"F49H6.4"	"V"	"+"	0.813338611118811	NA	65242	24	2714	384	0.141488577745026	NA	NA	NA
"srh-100"	"WBGene00005319"	"C46E10.10"	"II"	"-"	0.243068209194576	NA	6665	4	1508	0	0	NA	NA	NA
"srh-102"	"WBGene00005321"	"F40D4.11"	"V"	"-"	0.820304762241579	NA	71831	28	2610	310	0.118773946360153	NA	NA	NA
"srh-104"	"WBGene00005323"	"F21H7.7"	"V"	"-"	0.776302727275334	NA	23412	17	1361	151	0.110947832476121	NA	NA	NA
"srh-109"	"WBGene00005328"	"T19C9.4"	"V"	"-"	0.822964101819044	NA	9051	8	1193	41	0.0343671416596815	NA	NA	NA
"srh-111"	"WBGene00005330"	"F08E10.6"	"V"	"-"	0.835617524796671	NA	4219	4	1134	0	0	NA	NA	NA
"srh-112"	"WBGene00005331"	"T19C9.2"	"V"	"-"	0.823241460358303	NA	3444	3	1134	0	0	NA	NA	NA
"srh-118"	"WBGene00005337"	"K03D7.6"	"V"	"-"	0.836125406109104	NA	13864	7	1866	0	0	NA	NA	NA
"srh-139"	"WBGene00005356"	"F57E7.3"	"V"	"+"	0.787829272162637	NA	13075	9	1402	95	0.0677603423680457	NA	NA	NA
"srh-140"	"WBGene00005357"	"Y6E2A.6"	"V"	"+"	0.751431764590058	NA	20641	11	1812	0	0	NA	NA	NA
"srh-141"	"WBGene00005358"	"T08G3.5"	"V"	"+"	0.785924705293111	NA	30510	17	1809	250	0.138197899391929	NA	NA	NA
"srh-165"	"WBGene00005381"	"C41G6.9"	"V"	"+"	0.727419736400662	NA	23080	16	1432	89	0.0621508379888268	NA	NA	NA
"srh-172"	"WBGene00005388"	"Y60A3A.6"	"V"	"+"	0.953919341164146	NA	19446	10	1873	31	0.0165509877202349	NA	NA	NA
"srh-192"	"WBGene00005405"	"ZC132.7"	"V"	"-"	0.206152642540831	NA	42671	13	3165	248	0.0783570300157978	NA	NA	NA
"srh-193"	"WBGene00005406"	"F47D2.9"	"V"	"-"	0.204992620977262	NA	27820	16	1782	141	0.0791245791245791	NA	NA	NA
"srh-204"	"WBGene00005415"	"E03D2.3"	"V"	"-"	0.202625431438651	NA	20266	16	1243	137	0.110217216411907	NA	NA	NA
"srh-215"	"WBGene00005425"	"T20B3.3"	"V"	"-"	0.80439419848233	NA	7887	5	1465	0	0	NA	NA	NA
"srh-223"	"WBGene00005433"	"F47C12.3"	"IV"	"+"	0.227666281635656	NA	12512	7	1709	0	0	NA	NA	NA
"srh-231"	"WBGene00005439"	"C03G6.11"	"V"	"-"	0.351342728842899	NA	12624	9	1356	85	0.0626843657817109	NA	NA	NA
"srh-235"	"WBGene00005442"	"F08E10.1"	"V"	"-"	0.834964309234579	NA	9961	7	1442	0	0	NA	NA	NA
"srh-237"	"WBGene00005444"	"T05E12.7a"	"V"	"+"	0.816806297785624	NA	7700	6	1225	0	0	NA	NA	NA
"srh-247"	"WBGene00005453"	"C31B8.13"	"V"	"-"	0.140204251731729	NA	9007	9	1033	0	0	NA	NA	NA
"srh-251"	"WBGene00005457"	"R08H2.4"	"V"	"-"	0.734993772754775	NA	11405	7	1551	41	0.026434558349452	NA	NA	NA
"srh-252"	"WBGene00005458"	"T19C9.3"	"V"	"-"	0.823109698922491	NA	6518	6	1020	0	0	NA	NA	NA
"srh-258"	"WBGene00005464"	"T06E6.7"	"V"	"+"	0.73627542393537	NA	19534	12	1602	0	0	NA	NA	NA
"srh-270"	"WBGene00005476"	"F37B4.5"	"V"	"-"	0.136725429622571	NA	24418	17	1476	120	0.0813008130081301	NA	NA	NA
"srh-272"	"WBGene00005478"	"F37B4.4"	"V"	"+"	0.136883118000323	NA	20188	12	1669	103	0.0617136009586579	NA	NA	NA
"srh-277"	"WBGene00005482"	"K05D4.6a"	"V"	"+"	0.773562524313976	NA	7182	5	1518	0	0	NA	NA	NA
"srh-281"	"WBGene00005486"	"F11A5.1"	"V"	"+"	0.773818782862698	NA	14532	10	1478	62	0.0419485791610284	NA	NA	NA
"srh-288"	"WBGene00005492"	"C47A10.7"	"V"	"-"	0.850467354037291	NA	2221	3	847	0	0	NA	NA	NA
"srh-289"	"WBGene00005493"	"C47A10.10"	"V"	"-"	0.8503741843169	NA	10000	7	1408	59	0.0419034090909091	NA	NA	NA
"srh-291"	"WBGene00005495"	"Y94A7B.3"	"V"	"+"	0.851027304295796	NA	48538	16	3126	300	0.0959692898272553	NA	NA	NA
"srh-292"	"WBGene00005496"	"Y94A7B.1"	"V"	"+"	0.850850355904031	NA	8340	7	1155	0	0	NA	NA	NA
"srh-295"	"WBGene00005499"	"ZK1037.8"	"V"	"+"	0.732726157010693	NA	68057	31	2161	440	0.20360944007404	NA	NA	NA
"srh-297"	"WBGene00005501"	"C17F4.4"	"II"	"-"	0.211376039707264	NA	23269	14	1638	126	0.0769230769230769	NA	NA	NA
"srh-299"	"WBGene00005503"	"K08G2.9"	"V"	"+"	0.758161132240308	NA	6856	6	1117	0	0	NA	NA	NA
"sri-11"	"WBGene00005523"	"T22H2.3"	"I"	"-"	0.776028675925866	NA	21078	9	2263	54	0.0238621299160407	NA	NA	NA
"sri-27"	"WBGene00005539"	"ZK697.4"	"V"	"+"	0.0825190043289629	NA	47262	24	1980	274	0.138383838383838	NA	NA	NA
"sri-37"	"WBGene00005549"	"D2062.2"	"II"	"+"	0.172153152923792	NA	18036	11	1662	132	0.0794223826714801	NA	NA	NA
"sri-71"	"WBGene00005583"	"D2062.3"	"II"	"+"	0.172026970131918	NA	12520	9	1448	0	0	NA	NA	NA
"srj-10"	"WBGene00005598"	"F14H3.1"	"V"	"-"	0.7681715842628	NA	10045	8	1192	21	0.0176174496644295	NA	NA	NA
"srj-27"	"WBGene00005615"	"T01G5.3"	"V"	"-"	0.722936932295555	NA	14953	11	1302	0	0	NA	NA	NA
"srj-33"	"WBGene00005618"	"T07C12.1"	"V"	"-"	0.474883197334376	NA	19887	10	1988	73	0.0367203219315895	NA	NA	NA
"srj-37"	"WBGene00005621"	"F48G7.1"	"V"	"+"	0.030552117215585	NA	7726	6	1301	0	0	NA	NA	NA
"srj-42"	"WBGene00005625"	"Y73F8A.3"	"IV"	"-"	0.871804823289401	NA	30833	15	2106	164	0.0778727445394112	NA	NA	NA
"srj-50"	"WBGene00005629"	"T03D3.2"	"V"	"+"	0.135438688636783	NA	28921	15	1956	117	0.0598159509202454	NA	NA	NA
"srj-54"	"WBGene00005633"	"F37B4.11"	"V"	"-"	0.136648078921133	NA	5708	5	1179	0	0	NA	NA	NA
"srj-55"	"WBGene00005634"	"Y45G12A.1"	"V"	"-"	0.136541169116305	NA	22324	12	1861	126	0.0677055346587856	NA	NA	NA
"sru-11"	"WBGene00005674"	"Y45F10B.6"	"IV"	"+"	0.77662340245809	NA	55927	24	2343	364	0.155356380708493	NA	NA	NA
"sru-42"	"WBGene00005705"	"C55A1.8"	"V"	"+"	0.748007329319476	NA	75434	39	1947	365	0.187467899332306	NA	NA	NA
"srv-3"	"WBGene00005714"	"Y43F8C.19"	"V"	"-"	0.941872967064898	NA	69599	34	2060	506	0.245631067961165	NA	NA	NA
"srv-22"	"WBGene00005733"	"H04M03.9"	"IV"	"-"	0.336073451958402	NA	16039	11	1484	0	0	NA	NA	NA
"srv-29"	"WBGene00005740"	"T13A10.6"	"IV"	"-"	0.358168957750759	NA	27858	16	1706	205	0.120164126611958	NA	NA	NA
"srw-20"	"WBGene00005767"	"T05E12.4"	"V"	"-"	0.816236335187329	NA	22382	14	1639	165	0.100671140939597	NA	NA	NA
"srw-22"	"WBGene00005769"	"T10H4.3"	"V"	"+"	0.729738274092462	NA	10936	10	1147	0	0	NA	NA	NA
"srw-26"	"WBGene00005773"	"T05G11.3"	"V"	"-"	0.761410530783046	NA	6247	5	1199	0	0	NA	NA	NA
"srw-30"	"WBGene00005777"	"K10G4.9"	"V"	"+"	0.826222317911622	NA	7570	6	1284	0	0	NA	NA	NA
"srw-34"	"WBGene00005781"	"F36D3.13"	"V"	"-"	0.789585780661417	NA	11991	7	1671	0	0	NA	NA	NA
"srw-36"	"WBGene00005783"	"F14F8.7"	"V"	"+"	0.797356551128885	NA	7182	4	1693	0	0	NA	NA	NA
"srw-38"	"WBGene00005785"	"Y116F11B.5"	"V"	"+"	0.948084560541918	NA	138676	48	2901	904	0.311616683902103	NA	NA	NA
"srw-39"	"WBGene00005786"	"F19B2.3"	"V"	"-"	0.96398845737324	NA	112030	41	2747	869	0.316345103749545	NA	NA	NA
"srw-40"	"WBGene00005787"	"Y52E8A.5"	"II"	"-"	0.282423267216735	NA	39565	23	1695	158	0.0932153392330383	NA	NA	NA
"srw-42"	"WBGene00005789"	"F14F8.11"	"V"	"-"	0.797784118660803	NA	13456	8	1708	0	0	NA	NA	NA
"srw-43"	"WBGene00005790"	"F14F8.5"	"V"	"+"	0.797477081539157	NA	8030	8	1059	0	0	NA	NA	NA
"srw-53"	"WBGene00005800"	"T05G11.7"	"V"	"+"	0.761995906171711	NA	19873	14	1430	136	0.0951048951048951	NA	NA	NA
"srw-57"	"WBGene00005804"	"F36G9.1"	"V"	"-"	0.76248213789023	NA	16616	12	1438	0	0	NA	NA	NA
"srw-62"	"WBGene00005809"	"T05A6.6"	"II"	"+"	0.512195488297626	NA	9015	7	1288	0	0	NA	NA	NA
"srw-72"	"WBGene00005819"	"F20E11.6"	"V"	"+"	0.834815056073882	NA	12325	8	1540	0	0	NA	NA	NA
"srw-107"	"WBGene00005854"	"R11G11.13"	"V"	"-"	0.0248867339126312	NA	9951	6	1766	0	0	NA	NA	NA
"srw-109"	"WBGene00005856"	"ZK488.9"	"V"	"-"	0.0290507202671741	NA	29693	14	2164	101	0.0466728280961183	NA	NA	NA
"srw-112"	"WBGene00005859"	"K12D9.9"	"V"	"-"	0.143618650766721	NA	40913	21	1924	274	0.142411642411642	NA	NA	NA
"srw-117"	"WBGene00005864"	"C44C3.6"	"V"	"-"	0.142552850338699	NA	13333	10	1300	0	0	NA	NA	NA
"srw-137"	"WBGene00005884"	"H27D07.4"	"V"	"-"	0.140663337822557	NA	8251	6	1389	0	0	NA	NA	NA
"srw-138"	"WBGene00005885"	"C44C3.3"	"V"	"-"	0.141576444094822	NA	11730	9	1379	0	0	NA	NA	NA
"srw-144"	"WBGene00005891"	"H05B21.4"	"V"	"-"	0.141467503147077	NA	25710	14	1806	165	0.0913621262458472	NA	NA	NA
"srx-13"	"WBGene00005904"	"C44B12.4"	"IV"	"-"	0.0638406548960779	NA	146890	40	3698	1172	0.316928069226609	NA	NA	NA
"srx-20"	"WBGene00005911"	"R13H7.1"	"IV"	"+"	0.392630681367698	NA	17827	17	1047	114	0.108882521489971	NA	NA	NA
"srx-26"	"WBGene00005917"	"R05D8.4"	"V"	"-"	0.131530124477996	NA	24708	13	1895	66	0.0348284960422164	NA	NA	NA
"srx-29"	"WBGene00005920"	"K06B4.9"	"V"	"-"	0.750208227992686	NA	7204	5	1415	0	0	NA	NA	NA
"srx-35"	"WBGene00005926"	"T01C4.5"	"V"	"-"	0.340352931393249	NA	33642	19	1779	259	0.145587408656549	NA	NA	NA
"srx-55"	"WBGene00005946"	"Y102A5C.24"	"V"	"+"	0.811483508553262	NA	5759	5	1235	0	0	NA	NA	NA
"srx-63"	"WBGene00005954"	"K07C6.6"	"V"	"+"	0.187940937231471	NA	24106	14	1769	42	0.0237422272470322	NA	NA	NA
"srx-65"	"WBGene00005956"	"K07C6.8"	"V"	"+"	0.18746012985933	NA	7341	7	1030	32	0.0310679611650485	NA	NA	NA
"srx-82"	"WBGene00005973"	"F43A11.6"	"V"	"+"	0.553968279760545	NA	26786	8	3199	0	0	NA	NA	NA
"srx-93"	"WBGene00005984"	"F59B1.3"	"V"	"-"	0.173009575524584	NA	18155	15	1250	39	0.0312	NA	NA	NA
"srx-102"	"WBGene00005993"	"F40H7.5"	"II"	"-"	0.241768487169769	NA	9976	7	1364	31	0.0227272727272727	NA	NA	NA
"srx-110"	"WBGene00006001"	"C46E10.6"	"II"	"+"	0.242826838791863	NA	8146	6	1398	0	0	NA	NA	NA
"str-16"	"WBGene00006084"	"Y73C8A.1"	"V"	"+"	0.154780497969335	NA	39992	13	3191	328	0.102789094327797	NA	NA	NA
"str-25"	"WBGene00006092"	"F44G3.11"	"V"	"+"	0.770223205879514	NA	12518	10	1217	70	0.057518488085456	NA	NA	NA
"str-33"	"WBGene00006099"	"C24B9.1"	"V"	"+"	0.130441885894692	NA	9520	6	1708	31	0.0181498829039813	NA	NA	NA
"str-39"	"WBGene00006104"	"F37B4.12"	"V"	"-"	0.137584961513426	NA	40679	19	2098	209	0.0996186844613918	NA	NA	NA
"str-40"	"WBGene00006105"	"C50H11.12"	"V"	"-"	0.146656547592307	NA	10369	10	1067	0	0	NA	NA	NA
"str-43"	"WBGene00006108"	"T23D5.9"	"V"	"-"	0.75279129217967	NA	7796	6	1218	0	0	NA	NA	NA
"str-60"	"WBGene00006124"	"T06C12.1"	"V"	"+"	0.759824542706094	NA	20711	15	1420	82	0.0577464788732394	NA	NA	NA
"str-61"	"WBGene00006125"	"F14F8.1"	"V"	"-"	0.796700969882691	NA	46762	24	1952	375	0.192110655737705	NA	NA	NA
"str-66"	"WBGene00006128"	"Y73C8C.5"	"V"	"-"	0.148329874814688	NA	6732	6	1107	0	0	NA	NA	NA
"str-67"	"WBGene00006129"	"K10C9.6"	"V"	"-"	0.0508306418698367	NA	33600	17	2004	114	0.0568862275449102	NA	NA	NA
"str-69"	"WBGene00006131"	"Y73C8C.11"	"V"	"-"	0.148409638991827	NA	8739	8	1121	0	0	NA	NA	NA
"str-71"	"WBGene00006133"	"T23F1.4"	"V"	"-"	0.738786490079898	NA	10497	8	1374	22	0.0160116448326055	NA	NA	NA
"str-103"	"WBGene00006158"	"F44G3.1"	"V"	"-"	0.770306506634908	NA	13305	10	1339	0	0	NA	NA	NA
"str-106"	"WBGene00006159"	"K05D4.2"	"V"	"+"	0.773328058733962	NA	8890	7	1212	0	0	NA	NA	NA
"str-108"	"WBGene00006160"	"F10A3.13"	"V"	"+"	0.772638282599366	NA	14404	12	1174	95	0.0809199318568995	NA	NA	NA
"str-122"	"WBGene00006173"	"W03D2.10"	"IV"	"+"	0.232491040126207	NA	45415	18	2508	276	0.110047846889952	NA	NA	NA
"str-161"	"WBGene00006206"	"T08B6.3"	"IV"	"-"	0.280284064740772	NA	20713	13	1640	21	0.0128048780487805	NA	NA	NA
"str-176"	"WBGene00006220"	"T01B11.5a"	"IV"	"-"	0.483736807990978	NA	36472	13	2777	198	0.0712999639899172	NA	0.703019	"Gender Neutral"
